amplification,cyclin_throttle,donor_age,leakage_ci_high,leakage_ci_low,leakage_mean,leakage_median,leakage_n,leakage_std,mutation_reduction_ci_high,mutation_reduction_ci_low,mutation_reduction_mean,mutation_reduction_median,mutation_reduction_n,mutation_reduction_std,pct_fucci_pass,pct_fucci_pass_ci_high,pct_fucci_pass_ci_low,pct_joint_mutation_viability,pct_joint_mutation_viability_ci_high,pct_joint_mutation_viability_ci_low,pct_mut_ge_2,pct_mut_ge_2_ci_high,pct_mut_ge_2_ci_low,pct_viability_ge_threshold,pct_viability_ge_threshold_ci_high,pct_viability_ge_threshold_ci_low,sphase_fold_ci_high,sphase_fold_ci_low,sphase_fold_mean,sphase_fold_median,sphase_fold_n,sphase_fold_std,tissue,viability_ci_high,viability_ci_low,viability_mean,viability_median,viability_n,viability_std
1.45,0.14,25,0.34460172320646393,0.33521641846926997,0.3402256132217101,0.34012038513527365,120,0.002572795041769617,2.1468790713601265,1.9962855562159494,2.069631620684913,2.0695188556861654,120,0.041090785355255816,100.0,100.0,96.89808335812967,95.83333333333333,98.20732831198904,90.61591476629648,95.83333333333333,98.20732831198904,90.61591476629648,100.0,100.0,96.89808335812967,6.559814064034832,5.7889278528503985,6.158516586790631,6.1571424069088785,120,0.21149008450115797,blood_cd34,0.9379356645780661,0.882775103231408,0.9080474108009314,0.9071948534915442,120,0.015587868575159123
1.45,0.14750000000000002,25,0.3456902304056131,0.33614951350619576,0.340022776443053,0.33975241988930255,120,0.0024423161728727863,2.1410828050093373,1.9906037862869024,2.0686209172085466,2.0672090726978762,120,0.038905670137347935,100.0,100.0,96.89808335812967,95.83333333333333,98.20732831198904,90.61591476629648,95.83333333333333,98.20732831198904,90.61591476629648,100.0,100.0,96.89808335812967,6.657446446932117,5.7635585786262125,6.174689690719157,6.166665946143528,120,0.2278013482884626,blood_cd34,0.9355519048345483,0.8821786233923031,0.908443533686026,0.9082388819723914,120,0.014380831187439963
1.45,0.15500000000000003,25,0.34468965106778826,0.3349224820004021,0.3400941089298834,0.3401523767794304,120,0.002636867669548333,2.136886209176886,1.9710048823955921,2.0626610312526408,2.0683232158146216,120,0.04654553548643217,100.0,100.0,96.89808335812967,89.16666666666667,93.55885884582656,82.34463978470835,89.16666666666667,93.55885884582656,82.34463978470835,100.0,100.0,96.89808335812967,6.566942129251474,5.733807723590135,6.172319313765526,6.186900035071615,120,0.22535425127751146,blood_cd34,0.9376752715880078,0.8834294703712984,0.9104399987027366,0.9107075072695883,120,0.01412571829005246
1.45,0.1625,25,0.34504170310855603,0.3350508484462813,0.33990348058410935,0.3395972855994198,120,0.0027416780500240665,2.139930907809757,1.9879248229033633,2.0737335630579836,2.0793324689096955,120,0.03892330118588869,100.0,100.0,96.89808335812967,95.83333333333333,98.20732831198904,90.61591476629648,95.83333333333333,98.20732831198904,90.61591476629648,100.0,100.0,96.89808335812967,6.57596491674301,5.7394366780558,6.172387089260263,6.19333924482612,120,0.23303275765210898,blood_cd34,0.9385566821357839,0.878336228843204,0.9081442929130681,0.9077746524801729,120,0.01564394165340705
1.45,0.17,25,0.34515959049837147,0.3345794854615831,0.33974997298361637,0.3394730385079535,120,0.0026774746048301348,2.1527349251030885,1.9774182116139176,2.0729673374878694,2.077233515410863,120,0.04625365256426465,100.0,100.0,96.89808335812967,95.0,97.68856355855343,89.51971146376326,95.0,97.68856355855343,89.51971146376326,100.0,100.0,96.89808335812967,6.868408037332381,5.712095748535507,6.180406856099205,6.123893917452957,120,0.2864241307353993,blood_cd34,0.9356702144628095,0.8745625252623462,0.9061208031801196,0.9072368713493921,120,0.015280960239863634
1.492,0.16025,25,0.34641734726366724,0.33471319621599943,0.34040539546466175,0.3403178622813202,120,0.002869725220790576,2.167962545294656,2.017032748321947,2.093778206249346,2.097345804249602,120,0.039049944765711365,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,99.16666666666667,99.8527444266658,95.43037087549506,100.0,100.0,96.89808335812967,6.804397019558988,5.781543303747557,6.25064182471094,6.244453567693166,120,0.24725161454533398,blood_cd34,0.9333249789860065,0.8838378246861223,0.9063501809582348,0.9068018080917615,120,0.012927069397618913
1.492,0.1625,25,0.34434757163348817,0.33460118827332175,0.3402438053938634,0.3404157777070582,120,0.0025836274884836648,2.1558640322366993,2.017346127476948,2.0908833613267794,2.0964143092148957,120,0.04020232957145539,100.0,100.0,96.89808335812967,98.33333333333333,99.54174354340789,94.1264037027841,98.33333333333333,99.54174354340789,94.1264037027841,100.0,100.0,96.89808335812967,6.689251701601741,5.802712431513456,6.25203811177198,6.256220655493678,120,0.22929813543821007,blood_cd34,0.9341200552558586,0.8668149313936908,0.9023910647622156,0.9025744547132482,120,0.016649983351726773
1.492,0.16475,25,0.34475128771895436,0.3352324715762531,0.34000714938619614,0.33995187975842284,120,0.00245216528248782,2.168092037984459,1.9948515192143565,2.0940734573227444,2.0967892996562396,120,0.03824199010671843,100.0,100.0,96.89808335812967,96.66666666666667,98.69624489016495,91.7419662440894,96.66666666666667,98.69624489016495,91.7419662440894,100.0,100.0,96.89808335812967,6.783676468256635,5.760386251169768,6.251305437152286,6.245284302422466,120,0.2505003033203087,blood_cd34,0.9357468008844486,0.8778895737270911,0.9029853308002469,0.9006983820833077,120,0.015152380126393628
1.492,0.16775,25,0.34442831279131847,0.3343090334513879,0.3399953598566621,0.3401949754373418,120,0.0026267796823131284,2.1665106765645166,2.015797782997986,2.0912125326061246,2.087055401745601,120,0.04008050453565887,100.0,100.0,96.89808335812967,98.33333333333333,99.54174354340789,94.1264037027841,98.33333333333333,99.54174354340789,94.1264037027841,100.0,100.0,96.89808335812967,6.680861958229292,5.840692080658002,6.23488518009096,6.195462337749723,120,0.2275956008186517,blood_cd34,0.9355490931608531,0.8721949232533376,0.9022122711861394,0.9021215227092395,120,0.01621141596206862
1.492,0.17,25,0.3446073202244172,0.3351930426949844,0.33996535530475724,0.34002436144475945,120,0.0026565149078894845,2.1804115908631276,2.0214331033424022,2.0988124869800617,2.0985371578079715,120,0.04116215452848767,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,6.7935178846323385,5.7853007248792405,6.276864652654405,6.284045690589677,120,0.3015262012645936,blood_cd34,0.9313874455849481,0.873580726139492,0.9028114857724344,0.9019647613836537,120,0.016293814517787112
